,Action Observation,Acupuncture,Age,Anti-Saccades,Braille Reading,Breath-Holding,CIAS,Chewing/Swallowing,Classical Conditioning,Counting/Calculation,Cued Explicit Recognition,Deception Task,Deductive Reasoning,Delay Discounting Task,Delayed Match To Sample,Divided Auditory Attention,Drawing,Eating/Drinking,Encoding,Episodic Recall,Face Monitor/Discrimination,Film Viewing,Finger Tapping,Fixation,Flanker Task,Flashing Checkerboard,Flexion/Extension,Free Word List Recall,Go/No-Go,Grasping,Imagined Movement,Imagined Objects/Scenes,Isometric Force,Mental Rotation,Micturition Task,Music Comprehension/Production,Naming (Covert),Naming (Overt),Non-Painful Electrical Stimulation,Non-Painful Thermal Stimulation,Oddball Discrimination,Olfactory Monitor/Discrimination,Orthographic Discrimination,Pain Monitor/Discrimination,PainLevel,Paired Associate Recall,Passive Listening,Passive Viewing,Phonological Discrimination,Pitch Monitor/Discrimination,Pointing,Posner Task,Reading (Covert),Reading (Overt),Recitation/Repetition (Covert),Recitation/Repetition (Overt),Rest,Reward Task,Saccades,Semantic Monitor/Discrimination,Sequence Recall/Learning,Sex,Simon Task,Sleep,Spatial/Location Discrimination,Sternberg Task,Stroop Task,SubjectID,Subjective Emotional Picture Discrimination,Syntactic Discrimination,Tactile Monitor/Discrimination,Task Switching,Theory of Mind Task,Tone Monitor/Discrimination,Tower of London,Transcranial Magnetic Stimulation,Vibrotactile Monitor/Discrimination,Video Games,Visual Distractor/Visual Attention,Visual Pursuit/Tracking,Whistling,Wisconsin Card Sorting Test,Word Generation (Covert),Word Generation (Overt),Word Stem Completion (Covert),Word Stem Completion (Overt),Writing,add_date,analysis_level,brain_coverage,brainpedia_labels,brainpedia_study,cognitive_contrast_cogatlas,cognitive_contrast_cogatlas_id,cognitive_paradigm_cogatlas,cognitive_paradigm_cogatlas_id,cognitive_paradigm_description_url,collection,collection_id,contrast_definition,contrast_definition_cogatlas,custom_prop,data,description,figure,file,file_size,id,image_type,is_thresholded,is_valid,label_description_file,map_type,modality,modify_date,n-back,name,nidm_results,nidm_results_ttl,not_mni,number_of_subjects,perc_bad_voxels,perc_voxels_outside,random_property_1,random_property_2,reduced_representation,smoothness_fwhm,statistic_parameters,task,thumbnail,type,url
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-21T17:22:52.354068Z,,99.9623604382,,,pumps average real reaction time,cnt_55399fa95aaee,balloon analogue risk task (BART),trm_4d559bcd67c18,,http://neurovault.org/collections/39/,39,pumps average real reaction time,,,,FSL5.0,,http://neurovault.org/media/images/39/task001_cope03_pumps_fixed_real_RT.nii.gz,874892,116,statistic_map,False,True,,T map,fMRI-BOLD,2016-01-27T21:45:14.502202Z,,task001 pumps average real RT,,,False,16.0,74.6964699783,0.0,,,http://neurovault.org/media/images/39/transform_4mm_116.npy,,,,http://neurovault.org/media/images/39/glass_brain_116.jpg,,http://neurovault.org/images/116/
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-21T17:21:37.475962Z,group,95.5064490575,,,probabilistic classification trials,cnt_4cacf26718047,Probabilistic classification task,trm_4cacf22a22d80,,http://neurovault.org/collections/40/,40,task,,,,FSL5.0,,http://neurovault.org/media/images/40/task001_cope01_task.nii.gz,878402,141,statistic_map,False,True,,T map,fMRI-BOLD,2016-01-27T20:59:47.863043Z,,task001_001_task.nii.gz,,,False,17.0,74.7205108633,12.9680813302,,,http://neurovault.org/media/images/40/transform_4mm_141.npy,,,,http://neurovault.org/media/images/40/glass_brain_141_1.jpg,,http://neurovault.org/images/141/
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-21T17:22:26.994500Z,group,95.6022986393,,,feedback,cnt_55399dc274d97,deterministic classification,trm_4e8dd3831f0cc,,http://neurovault.org/collections/40/,40,feedback,,,,FSL5.0,,http://neurovault.org/media/images/40/task002_cope02_feedback.nii.gz,874675,138,statistic_map,False,True,,T map,fMRI-BOLD,2016-01-21T17:22:26.994518Z,,task002_002_feedback.nii.gz,,,False,17.0,74.7239452754,13.021924201,,,http://neurovault.org/media/images/40/transform_4mm_138.npy,,,,http://neurovault.org/media/images/40/glass_brain_138.jpg,,http://neurovault.org/images/138/
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-21T17:22:26.912116Z,group,95.6022986393,,,deterministic classification trials,cnt_4ebca72d737c1,deterministic classification,trm_4e8dd3831f0cc,,http://neurovault.org/collections/40/,40,task,,,,FSL5.0,,http://neurovault.org/media/images/40/task002_cope01_task.nii.gz,878329,135,statistic_map,False,True,,T map,fMRI-BOLD,2016-01-21T17:22:26.912138Z,,task002_001_task.nii.gz,,,False,17.0,74.7239452754,13.021924201,,,http://neurovault.org/media/images/40/transform_4mm_135.npy,,,,http://neurovault.org/media/images/40/glass_brain_135.jpg,,http://neurovault.org/images/135/
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-21T17:22:38.091191Z,group,95.5725371253,,,classification trials: probabilistic,cnt_4ebcaad4c41d7,classification probe without feedback,trm_4ebc9d2e397f2,,http://neurovault.org/collections/40/,40,classification-probabilistic,,,,FSL5.0,,http://neurovault.org/media/images/40/task003_cope01_classification-probabilistic.nii.gz,877294,140,statistic_map,False,True,,T map,fMRI-BOLD,2016-01-21T17:22:38.091211Z,,task003_001_task.nii.gz,,,False,17.0,74.747432223,12.8814505994,,,http://neurovault.org/media/images/40/transform_4mm_140.npy,,,,http://neurovault.org/media/images/40/glass_brain_140.jpg,,http://neurovault.org/images/140/
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-21T17:23:18.976199Z,group,95.5064490575,,,feedback,cnt_55399e161c884,Probabilistic classification task,trm_4cacf22a22d80,,http://neurovault.org/collections/40/,40,feedback,,,,FSL5.0,,http://neurovault.org/media/images/40/task001_cope02_feedback.nii.gz,874740,136,statistic_map,False,True,,T map,fMRI-BOLD,2016-01-21T17:23:18.976217Z,,task001_002_feedback.nii.gz,,,False,17.0,74.7205108633,12.9680813302,,,http://neurovault.org/media/images/40/transform_4mm_136.npy,,,,http://neurovault.org/media/images/40/glass_brain_136.jpg,,http://neurovault.org/images/136/
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-21T17:23:20.037319Z,group,95.5725371253,,,classification trials: deterministic,cnt_54f8cbcb6fab6,classification probe without feedback,trm_4ebc9d2e397f2,,http://neurovault.org/collections/40/,40,classification-deterministic,,,,FSL5.0,,http://neurovault.org/media/images/40/task003_cope02_classification-deterministic.nii.gz,877829,139,statistic_map,False,True,,T map,fMRI-BOLD,2016-01-21T17:23:20.037337Z,,task003_002_classification_deterministic.nii.gz,,,False,17.0,74.747432223,12.8814505994,,,http://neurovault.org/media/images/40/transform_4mm_139.npy,,,,http://neurovault.org/media/images/40/glass_brain_139.jpg,,http://neurovault.org/images/139/
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-21T17:23:04.419489Z,group,99.926909223,,,successful stop minus go,cnt_4ebca1f15eb7d,conditional stop signal task,trm_4cacf3fbc503b,,http://neurovault.org/collections/42/,42,succstop minus go,,,,FSL5.0,,http://neurovault.org/media/images/42/task002_cope10_succstop_minus_go.nii.gz,878039,3041,statistic_map,False,True,,T map,fMRI-BOLD,2016-01-21T17:23:04.419508Z,,task002 010 succstop minus go,,,False,15.0,74.7054437648,0.0,,,http://neurovault.org/media/images/42/transform_4mm_3041.npy,,,,http://neurovault.org/media/images/42/glass_brain_3041.jpg,,http://neurovault.org/images/3041/
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-21T17:21:35.374391Z,group,99.926909223,,,unsuccessful stop minus successful stop,cnt_55399a008d960,conditional stop signal task,trm_4cacf3fbc503b,,http://neurovault.org/collections/42/,42, unsucc minus succ stop,,,,FSL5.0,,http://neurovault.org/media/images/42/task002_cope08_unsucc_minus_succ_stop.nii.gz,877640,3040,statistic_map,False,True,,T map,fMRI-BOLD,2016-01-27T20:59:16.651253Z,,task002 008 unsucc minus succ stop,,,False,15.0,74.7054437648,0.0,,,http://neurovault.org/media/images/42/transform_4mm_3040.npy,,,,http://neurovault.org/media/images/42/glass_brain_3040_1.jpg,,http://neurovault.org/images/3040/
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-21T17:21:35.394986Z,group,99.926909223,,,go-critical minus go-noncritical,cnt_553999f2c69ef,conditional stop signal task,trm_4cacf3fbc503b,,http://neurovault.org/collections/42/,42,go-critical minus go-noncritical,,,,FSL5.0,,http://neurovault.org/media/images/42/task002_cope09_go_crit-go_noncrit.nii.gz,877915,3039,statistic_map,False,True,,T map,fMRI-BOLD,2016-01-27T20:59:17.042624Z,,task002 009 go-critical minus go-noncritical,,,False,15.0,74.7054437648,0.0,,,http://neurovault.org/media/images/42/transform_4mm_3039.npy,,,,http://neurovault.org/media/images/42/glass_brain_3039_1.jpg,,http://neurovault.org/images/3039/
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-21T17:22:26.932552Z,group,99.926909223,,,successful stop-critical,cnt_55399a3f5e512,conditional stop signal task,trm_4cacf3fbc503b,,http://neurovault.org/collections/42/,42,successful stop-critical,,,,FSL5.0,,http://neurovault.org/media/images/42/task002_cope03_successful%20stop-critical.nii.gz,878115,149,statistic_map,False,True,,T map,fMRI-BOLD,2016-01-21T17:22:26.932570Z,,task002 003 successful stop-critical,,,False,15.0,74.7054437648,0.0,,,http://neurovault.org/media/images/42/transform_4mm_149.npy,,,,http://neurovault.org/media/images/42/glass_brain_149.jpg,,http://neurovault.org/images/149/
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-21T17:22:27.004887Z,group,99.970238486,,,failed stop,cnt_55399d6bcd8dc,stop signal task,tsk_4a57abb949e1a,,http://neurovault.org/collections/42/,42,failed stop,,,,FSL5.0,,http://neurovault.org/media/images/42/task001_cope03_failed%20stop.nii.gz,878293,146,statistic_map,False,True,,T map,fMRI-BOLD,2016-01-21T17:22:27.004905Z,,task001 003 failed stop,,,False,15.0,74.6944758035,0.0,,,http://neurovault.org/media/images/42/transform_4mm_146.npy,,,,http://neurovault.org/media/images/42/glass_brain_146.jpg,,http://neurovault.org/images/146/
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-21T17:23:04.160868Z,group,99.926909223,,,go-noncritical,cnt_55399a202b4ff,conditional stop signal task,trm_4cacf3fbc503b,,http://neurovault.org/collections/42/,42,go - noncritical,,,,FSL5.0,,http://neurovault.org/media/images/42/task002_cope02_go-noncritical.nii.gz,877860,144,statistic_map,False,True,,T map,fMRI-BOLD,2016-01-21T17:23:04.160887Z,,task002 002 go-noncritical,,,False,15.0,74.7054437648,0.0,,,http://neurovault.org/media/images/42/transform_4mm_144.npy,,,,http://neurovault.org/media/images/42/glass_brain_144.jpg,,http://neurovault.org/images/144/
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-21T17:21:37.289598Z,group,99.970238486,,,go trial,cnt_4b44a4d544ee7,stop signal task,tsk_4a57abb949e1a,,http://neurovault.org/collections/42/,42,go,,,,FSL5.0,,http://neurovault.org/media/images/42/task001_cope01_go.nii.gz,878731,143,statistic_map,False,True,,T map,fMRI-BOLD,2016-01-27T20:59:44.198906Z,,task001 001 go,,,False,15.0,74.6944758035,0.0,,,http://neurovault.org/media/images/42/transform_4mm_143.npy,,,,http://neurovault.org/media/images/42/glass_brain_143_1.jpg,,http://neurovault.org/images/143/
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-21T17:22:37.719813Z,group,99.926909223,,,failed stop-critical ,cnt_4ebca202935c6,conditional stop signal task,trm_4cacf3fbc503b,,http://neurovault.org/collections/42/,42,failed stop-critical,,,,FSL5.0,,http://neurovault.org/media/images/42/task002_cope04_failed%20stop-critical.nii.gz,877599,142,statistic_map,False,True,,T map,fMRI-BOLD,2016-01-21T17:22:37.719831Z,,task002 004 failed stop-critical,,,False,15.0,74.7054437648,0.0,,,http://neurovault.org/media/images/42/transform_4mm_142.npy,,,,http://neurovault.org/media/images/42/glass_brain_142.jpg,,http://neurovault.org/images/142/
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-21T17:22:22.575089Z,group,99.926909223,,,failed stop-noncritical ,cnt_4ebca22149619,conditional stop signal task,trm_4cacf3fbc503b,,http://neurovault.org/collections/42/,42,failed stop-noncritical,,,,FSL5.0,,http://neurovault.org/media/images/42/task002_cope05_failed%20stop-noncritical.nii.gz,878341,154,statistic_map,False,True,,T map,fMRI-BOLD,2016-01-21T17:22:22.575121Z,,task002 005 failed stop-noncritical,,,False,15.0,74.7054437648,0.0,,,http://neurovault.org/media/images/42/transform_4mm_154.npy,,,,http://neurovault.org/media/images/42/glass_brain_154.jpg,,http://neurovault.org/images/154/
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-21T17:23:18.833322Z,group,99.970238486,,,successful stop trial,cnt_4c6b5fd5bfc41,stop signal task,tsk_4a57abb949e1a,,http://neurovault.org/collections/42/,42,successful stop,,,,FSL5.0,,http://neurovault.org/media/images/42/task001_cope02_successful%20stop.nii.gz,877101,147,statistic_map,False,True,,T map,fMRI-BOLD,2016-01-21T17:23:18.833340Z,,task001 002 successful stop,,,False,15.0,74.6944758035,0.0,,,http://neurovault.org/media/images/42/transform_4mm_147.npy,,,,http://neurovault.org/media/images/42/glass_brain_147.jpg,,http://neurovault.org/images/147/
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-21T17:23:16.865181Z,group,100.0,,,dual task classification learning trials,cnt_4ebcaa463d20e,dual-task weather prediction,trm_4ebc98cc77e7b,,http://neurovault.org/collections/43/,43,dual-task classification learning trials,,,,FSL5.0,,http://neurovault.org/media/images/43/task003_cope01_dual-task%20classification.nii.gz,879840,166,statistic_map,False,True,,T map,fMRI-BOLD,2016-01-21T17:23:16.865215Z,,task003_001_dual-task classification,,,False,14.0,74.6869422542,0.0,,,http://neurovault.org/media/images/43/transform_4mm_166.npy,,,,http://neurovault.org/media/images/43/glass_brain_166_1.jpg,,http://neurovault.org/images/166/
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-21T17:21:38.141138Z,group,100.0,,,single task classification learning trials,cnt_4ebcaa755a7e5,single-task weather prediction ,trm_4ebc728326a13,,http://neurovault.org/collections/43/,43,single-task classification learning trials,,,,FSL5.0,,http://neurovault.org/media/images/43/task002_cope01_single-task%20classification.nii.gz,878224,165,statistic_map,False,True,,T map,fMRI-BOLD,2016-01-27T20:59:59.494763Z,,task002_001_single-task classification,,,False,14.0,74.6869422542,0.0,,,http://neurovault.org/media/images/43/transform_4mm_165.npy,,,,http://neurovault.org/media/images/43/glass_brain_165_1.jpg,,http://neurovault.org/images/165/
