,contrast_text,contrast_uri,event_stamp,id,id_user
126,Mental Interaction minus Random Interaction,,2015-04-17 17:56:16,cnt_55314940f18c6,usr_51bc76ae9636c
127,areas of activation during task minus baseline,,2011-06-10 21:16:52,cnt_4df289c4c46fa,usr_4de5345b3b6a8
128,mental age (difficulty) of maze,,2012-07-30 19:34:09,cnt_5016e1b12e5c8,usr_4f177506dde77
129,"response time for ""bad"" or risky doors minus response time for ""good"" doors",,2012-11-27 00:40:38,cnt_50b40c06406f1,usr_4de5345b3b6a8
130,accuracy of subject minus average accuracy of controls,,2012-11-27 00:40:59,cnt_50b40c1b28ad3,usr_4de5345b3b6a8
131,"number of ""good"" doors chosen vs. number of ""bad"" doors",,2012-11-27 00:41:30,cnt_50b40c3aa95af,usr_4de5345b3b6a8
132,valid,,2011-06-02 19:31:56,cnt_4de7e52cd0ad6,usr_4de5345b3b6a8
133,invalid,,2011-06-02 19:32:27,cnt_4de7e54b3b8d8,usr_4de5345b3b6a8
134,visual perception score,,2013-09-22 20:55:07,cnt_523f592b5aaf9,usr_51bc76ae9636c
135,motor coordination score,,2013-09-22 20:55:21,cnt_523f593964534,usr_51bc76ae9636c
136,accuracy of participant minus average accuracy of controls,,2011-06-20 17:13:51,cnt_4dff7fcf1b8a2,usr_4de5345b3b6a8
137,Plausible Sentences,,2011-06-20 17:14:43,cnt_4dff8003a6b0a,usr_4de5345b3b6a8
138,Implausible Snetences,,2011-06-20 17:15:28,cnt_4dff8030b7e41,usr_4de5345b3b6a8
139,response time to implausible sentences minus response time to plausible sentences,,2011-06-20 17:17:34,cnt_4dff80aec63b6,usr_4de5345b3b6a8
140,d&#39;-context,,2013-03-28 19:11:42,cnt_515495ee6ef15,usr_4de5345b3b6a8
141,beta (response criterion),,2013-03-28 19:11:50,cnt_515495f61ce8b,usr_4de5345b3b6a8
142,number correct,,2013-01-16 23:14:49,cnt_50f7346907d30,usr_4de5345b3b6a8
143,false positives,,2013-01-16 23:14:57,cnt_50f73471382f8,usr_4de5345b3b6a8
144,total score,,2013-10-22 17:57:54,cnt_5266bca2e6a0d,usr_51bc76ae9636c
145,auditory comprehension,,2013-10-22 17:58:16,cnt_5266bcb8dd805,usr_51bc76ae9636c
146,expressive communication,,2013-10-22 17:58:45,cnt_5266bcd51c5bc,usr_51bc76ae9636c
147,emotion manipulation versus control,,2011-06-06 21:48:36,cnt_4ded4b345f82a,usr_4de5345b3b6a8
148,category list,,2011-06-06 21:49:48,cnt_4ded4b7c49083,usr_4de5345b3b6a8
149,total score,,2013-01-15 20:45:43,cnt_50f5bff7748da,usr_4de5345b3b6a8
150,Faces,,2015-04-17 17:47:58,cnt_5531474e117df,usr_51bc76ae9636c
151,Shapes,,2015-04-17 17:48:07,cnt_55314757a78a1,usr_51bc76ae9636c
152,Faces minus Shapes,,2015-04-17 17:48:19,cnt_553147632424b,usr_51bc76ae9636c
153,Negative Faces,,2015-04-17 17:48:31,cnt_5531476fa91e9,usr_51bc76ae9636c
154,Negative Shapes,,2015-04-17 17:48:40,cnt_553147783d53b,usr_51bc76ae9636c
155,Shapes minus Faces,,2015-04-17 17:48:49,cnt_55314781f094c,usr_51bc76ae9636c
156,number correct,,2013-01-17 00:06:47,cnt_50f7409730966,usr_4de5345b3b6a8
157,Cue,,2015-04-17 18:34:14,cnt_55315226076d3,usr_51bc76ae9636c
158,Left Foot,,2015-04-17 18:35:28,cnt_55315270d1e14,usr_51bc76ae9636c
159,Left Hand,,2015-04-17 18:35:36,cnt_55315278ea6cc,usr_51bc76ae9636c
160,Right Foot,,2015-04-17 18:35:45,cnt_5531528173117,usr_51bc76ae9636c
161,Right Hand,,2015-04-17 18:35:53,cnt_5531528989cc7,usr_51bc76ae9636c
162,Tongue,,2015-04-17 18:36:00,cnt_553152908ac51,usr_51bc76ae9636c
163,Average,,2015-04-17 18:36:08,cnt_553152984f850,usr_51bc76ae9636c
164,Cue minus Average,,2015-04-17 18:36:15,cnt_5531529f4645b,usr_51bc76ae9636c
165,Left Foot minus Average,,2015-04-17 18:36:23,cnt_553152a7a0b6c,usr_51bc76ae9636c
166,Left Hand minus Average,,2015-04-17 18:36:33,cnt_553152b1dfd37,usr_51bc76ae9636c
167,Right Foot minus Average,,2015-04-17 18:36:47,cnt_553152bf58a31,usr_51bc76ae9636c
168,Right Hand minus Average,,2015-04-17 18:36:57,cnt_553152c97dd5d,usr_51bc76ae9636c
169,Tongue minus Average,,2015-04-17 18:37:05,cnt_553152d16cfe1,usr_51bc76ae9636c
170,Negative Cue,,2015-04-17 18:37:12,cnt_553152d8c233d,usr_51bc76ae9636c
171,Negative Left Foot,,2015-04-17 18:37:21,cnt_553152e128eb4,usr_51bc76ae9636c
172,Negative Left Hand,,2015-04-17 18:37:28,cnt_553152e8980dd,usr_51bc76ae9636c
173,Negative Right Foot,,2015-04-17 18:37:40,cnt_553152f4dbf86,usr_51bc76ae9636c
174,Negative Right Hand,,2015-04-17 18:37:49,cnt_553152fd52bf1,usr_51bc76ae9636c
175,Negative Tongue,,2015-04-17 18:37:59,cnt_5531530759866,usr_51bc76ae9636c
176,Negative Average,,2015-04-17 18:38:09,cnt_553153113dfc5,usr_51bc76ae9636c
177,Average minus Cue,,2015-04-17 18:38:15,cnt_55315317b4224,usr_51bc76ae9636c
178,Average minus Left Foot,,2015-04-17 18:38:27,cnt_55315323a698b,usr_51bc76ae9636c
179,Average minus Left Hand,,2015-04-17 18:38:37,cnt_5531532dc579d,usr_51bc76ae9636c
180,Average minus Right Foot,,2015-04-17 18:38:52,cnt_5531533c43e15,usr_51bc76ae9636c
181,Average minus Right Hand,,2015-04-17 18:39:06,cnt_5531534a03607,usr_51bc76ae9636c
182,Average minus Tongue,,2015-04-17 18:39:19,cnt_55315357c5638,usr_51bc76ae9636c
183,percent correct,,2015-07-13 00:19:36,cnt_55a30418945f9,usr_4e42a3196fbcd
184,accuracy of participant minus average accuracy of age-matched controls,,2011-06-09 22:13:01,cnt_4df1456d05cab,usr_4de5345b3b6a8
185,response to first stimulus,,2011-06-01 22:56:52,cnt_4de6c3b459269,usr_4de5345b3b6a8
186,magnitude of response to second stimulus,,2011-06-01 22:57:12,cnt_4de6c3c82d46d,usr_4de5345b3b6a8
187,distance walked,,2013-01-08 00:44:43,cnt_50eb6bfb7e504,usr_4de5345b3b6a8
188,consistent - inconsistent,,2012-07-17 19:47:14,cnt_5005c1421ee49,usr_4f177506dde77
189,target - distractor,,2012-07-17 19:53:41,cnt_5005c2c544201,usr_4f177506dde77
190,d&#39;,,2012-08-07 22:41:37,cnt_502199a142cab,usr_4f177506dde77
191,Congruent,,2010-02-23 20:12:37,cnt_4b8436b57862e,usr_4aef33d37b963
192,Incongruent,,2010-02-23 20:12:48,cnt_4b8436c051c94,usr_4aef33d37b963
193,Incongruent,,2010-02-23 20:13:20,cnt_4b8436e073769,usr_4aef33d37b963
194,Irritability/Agitation,,2013-09-20 16:50:34,cnt_523c7cdacdc20,usr_51bc76ae9636c
195,Lethargy/Social Withdrawal,,2013-09-20 16:50:56,cnt_523c7cf0ea7b4,usr_51bc76ae9636c
196,Stereotypic Behavior,,2013-09-20 16:51:25,cnt_523c7d0de6735,usr_51bc76ae9636c
197,Hyperactivity/Noncompliance,,2013-09-20 16:51:43,cnt_523c7d1fc539f,usr_51bc76ae9636c
198,Inappropriate Speech,,2013-09-20 16:51:55,cnt_523c7d2b82709,usr_51bc76ae9636c
199,real task time minus imagined task time,,2011-06-07 16:24:18,cnt_4dee50b24d8c4,usr_4de5345b3b6a8
200,real task areas of activation minus imagined task areas of activation,,2011-06-07 16:24:49,cnt_4dee50d11696f,usr_4de5345b3b6a8
201,real task effort minus imagined task effort,,2011-06-07 16:25:05,cnt_4dee50e19a0a5,usr_4de5345b3b6a8
202,d&#39;,,2012-08-06 21:52:02,cnt_50203c822eed9,usr_4f177506dde77
203,total score,,2013-08-22 22:02:02,cnt_52168a5a4c3d7,usr_51bc76ae9636c
204,reciprical social interaction,,2013-08-22 22:02:31,cnt_52168a770f5c0,usr_51bc76ae9636c
205,communication,,2013-08-22 22:02:47,cnt_52168a8712870,usr_51bc76ae9636c
206,restrictive and repetitive behavior,,2013-08-22 22:03:03,cnt_52168a9794c01,usr_51bc76ae9636c
207,immediate memory copy,,2011-06-03 18:36:22,cnt_4de929a613652,usr_4de5345b3b6a8
208,general memory copy,,2011-06-03 18:37:45,cnt_4de929f98367a,usr_4de5345b3b6a8
209,digit/symbol coding - symbol copy,,2011-06-03 18:44:40,cnt_4de92b983089e,usr_4de5345b3b6a8
210,false picture question,,2015-04-24 16:00:08,cnt_553a6888a86e7,usr_51bc76ae9636c
211,false belief question minus false picture question,,2015-04-24 16:00:27,cnt_553a689b663ed,usr_51bc76ae9636c
212,false picture story,,2015-04-24 16:00:41,cnt_553a68a9eaea4,usr_51bc76ae9636c
213,false belief story,,2015-04-24 16:00:57,cnt_553a68b954b07,usr_51bc76ae9636c
214,all,,2015-04-24 16:01:07,cnt_553a68c3d7ff8,usr_51bc76ae9636c
215,false belief story minus false picture story,,2015-04-24 16:01:19,cnt_553a68cf05712,usr_51bc76ae9636c
216,false belief minus false picture,,2015-04-24 16:01:32,cnt_553a68dc57c0c,usr_51bc76ae9636c
217,false belief question,,2015-04-24 16:01:39,cnt_553a68e3f0566,usr_51bc76ae9636c
218,areas of activation during covert minus areas of activation during overt,,2011-06-22 20:41:36,cnt_4e0253808fe82,usr_4de5345b3b6a8
219,accuracy of participant minus average accuracy of controls,,2011-06-22 20:41:58,cnt_4e02539674407,usr_4de5345b3b6a8
220,ERP strength minus baseline,,2011-06-22 20:45:27,cnt_4e025467f28e7,usr_4de5345b3b6a8
221,Math,,2015-04-17 17:59:30,cnt_55314a02877ba,usr_51bc76ae9636c
222,Story,,2015-04-17 17:59:36,cnt_55314a0837714,usr_51bc76ae9636c
223,Math minus Story,,2015-04-17 17:59:44,cnt_55314a10d4412,usr_51bc76ae9636c
224,Story minus Math,,2015-04-17 17:59:54,cnt_55314a1a5514c,usr_51bc76ae9636c
225,Negative Math,,2015-04-17 18:00:04,cnt_55314a245b40b,usr_51bc76ae9636c
226,Negative Story,,2015-04-17 18:00:11,cnt_55314a2b79a0b,usr_51bc76ae9636c
227,false positives,,2013-03-28 18:49:54,cnt_515490d277b2e,usr_4de5345b3b6a8
228,number correct,,2013-03-28 18:56:13,cnt_5154924daead4,usr_4de5345b3b6a8
229,percent correct,,2015-07-13 00:22:41,cnt_55a304d1cfc84,usr_4e42a3196fbcd
230,total score,,2013-10-29 18:50:16,cnt_52700368df6d8,usr_51bc76ae9636c
231,vocabulary,,2013-10-29 18:58:03,cnt_5270053b30cb5,usr_51bc76ae9636c
232,comprehension,,2013-10-29 18:58:46,cnt_52700566e4732,usr_51bc76ae9636c
233,pattern analysis,,2013-10-29 19:06:43,cnt_527007430497f,usr_51bc76ae9636c
234,quantitative,,2013-10-29 19:27:43,cnt_52700c2f1cfc3,usr_51bc76ae9636c
235,memory for sentences,,2013-10-29 19:28:09,cnt_52700c49523b9,usr_51bc76ae9636c
236,# items remembered with encoding task - number remembered without,,2011-06-03 23:06:00,cnt_4de968d88e3d3,usr_4de5345b3b6a8
237,number of seconds to walk 4m,,2013-01-08 00:30:10,cnt_50eb6892e9317,usr_4de5345b3b6a8
238,total score,,2013-10-19 18:04:06,cnt_5262c996e744b,usr_51bc76ae9636c
239,amount consumed,,2011-06-03 22:24:10,cnt_4de95f0aa8476,usr_4de5345b3b6a8
240,food choice periods of high energy trials versus food choice periods of low energy trials,,2015-09-08 20:24:43,cnt_55ef440b3f6f2,usr_51bc76ae9636c
241,areas of activation during task minus baseline,,2011-06-22 05:46:49,cnt_4e0181c976a19,usr_4de5345b3b6a8
242,response time of subject minus response time of controls,,2011-06-22 05:48:35,cnt_4e0182336c9cc,usr_4de5345b3b6a8
243,d&#39;-Context,,2010-09-22 01:54:21,cnt_4c9961cd8a778,usr_4aef384a4c085
244,beta (response criterion),,2010-09-22 02:58:49,cnt_4c9970e9759d2,usr_4aef384a4c085
245,accuracy of participant minus average accuracy of controls,,2011-06-17 19:45:57,cnt_4dfbaef575808,usr_4de5345b3b6a8
246,accuracy of immediate recognition test minus accuracy of delayed test,,2011-06-17 19:46:47,cnt_4dfbaf2722de5,usr_4de5345b3b6a8
247,average response time,,2011-06-17 19:47:26,cnt_4dfbaf4e94f96,usr_4de5345b3b6a8
248,number correct,,2013-01-17 00:11:29,cnt_50f741b1591cf,usr_4de5345b3b6a8
249,change point probability,,2015-04-27 17:08:58,cnt_553e6d2a395b2,usr_51bc76ae9636c
250,relative uncertainty,,2015-04-27 17:09:06,cnt_553e6d32a3fd7,usr_51bc76ae9636c
251,reward value,,2015-04-27 17:09:19,cnt_553e6d3f41b03,usr_51bc76ae9636c
252,residual update,,2015-04-27 17:09:24,cnt_553e6d44d6921,usr_51bc76ae9636c
253,percent correct (number of correct responses/number of total pictures),,2011-06-01 19:01:53,cnt_4de68ca153c38,usr_4de5345b3b6a8
254,target size,,2012-07-18 23:09:15,cnt_5007421b7d846,usr_4f177506dde77
255,movement amplitude,,2012-07-18 23:09:24,cnt_5007422433506,usr_4f177506dde77
256,peak velocity,,2012-07-18 23:12:36,cnt_500742e46e628,usr_4f177506dde77
257,target shape,,2012-07-18 23:13:48,cnt_5007432c64f97,usr_4f177506dde77
258,target visibility,,2012-07-18 23:15:12,cnt_50074380529ff,usr_4f177506dde77
259,suppression - control (articulatory suppression effect),,2013-01-15 16:25:08,cnt_50f582e4f0a26,usr_49a467bf4e0db
260,primed versus unprimed,,2012-07-31 20:24:51,cnt_50183f13074db,usr_4f177506dde77
261,subject score minus average normal score,,2011-06-10 18:15:17,cnt_4df25f35f17e3,usr_4de5345b3b6a8
262,Contamination/Cleaning,,2011-06-10 18:21:16,cnt_4df2609ceae39,usr_4de5345b3b6a8
263,Checking,,2011-06-10 18:22:53,cnt_4df260fd670ea,usr_4de5345b3b6a8
264,Slowness,,2011-06-10 18:23:51,cnt_4df26137bc72d,usr_4de5345b3b6a8
265,Doubting,,2011-06-10 18:27:08,cnt_4df261fc3cd71,usr_4de5345b3b6a8
266,total score,,2013-12-02 22:32:17,cnt_529d0a711d43d,usr_51bc76ae9636c
267,Difficulty Level 1,,2010-02-17 14:58:37,cnt_4b7c041db99fb,usr_49a467bf4e0db
268,Difficulty Level 2,,2010-02-17 14:59:01,cnt_4b7c04350ce30,usr_49a467bf4e0db
269,Difficulty Level 3,,2010-02-17 14:59:26,cnt_4b7c044e556ea,usr_49a467bf4e0db
